ds,trend,yhat,Country
2020-05-26,24032.955393238935,6542.789633496439,India
2020-05-27,24370.316147882808,6864.72962347835,India
2020-05-28,24707.676902526677,7253.530997402559,India
2020-05-29,25045.037657170556,7796.103081446399,India
2020-05-30,25382.39841181442,8229.81643501308,India
2020-05-31,25719.759166458294,8449.623477237212,India
2020-06-01,26057.119921102163,8084.769223229781,India
2020-06-02,26394.480675810057,8604.301485866908,India
2020-06-03,26731.84143051794,9299.844493490727,India
2020-06-04,27069.20218522582,9742.872536922263,India
2020-06-05,27406.562939933712,10007.060739324144,India
2020-06-06,27743.9236946416,10015.109487051363,India
2020-06-07,28081.284450750038,9907.634775392078,India
2020-06-08,28418.64520685849,9114.315051489517,India
2020-06-09,28756.00596296693,9713.338577435912,India
2020-06-10,29093.366719075377,10510.13876233278,India
2020-06-11,29430.727475183827,10998.979493367548,India
2020-06-12,29768.088230461784,11301.809945701658,India
2020-06-13,30105.448985739746,11458.620167487832,India
2020-06-14,30442.809741017707,11652.642370939328,India
2020-06-15,30780.17049629566,11246.06784759683,India
2020-06-16,31117.531251573626,12181.030400504274,India
2020-06-17,31454.89200717982,13201.167128423345,India
2020-06-18,31792.252762786015,13862.200946739427,India
2020-06-19,32129.6135183922,14392.311635220027,India
2020-06-20,32466.974273998396,14872.444088250384,India
2020-06-21,32804.33502960459,15426.454006597087,India
2020-06-22,33141.69578521079,15207.595473710935,India
2020-06-23,33479.05654399207,16132.37306876884,India
2020-06-24,33816.41730277334,16980.96573787505,India
2020-06-25,34153.77806155462,17429.25533483512,India
2020-06-26,34491.1388203359,17798.364775682017,India
2020-06-27,34828.499579117175,18174.907333310734,India
2020-06-28,35165.86033596146,18611.453856980752,India
2020-06-29,35503.22109280575,18329.80830410849,India
2020-06-30,35840.581849650036,19304.755744431328,India
2020-07-01,36177.94260649432,20451.45026577646,India
2020-07-02,36515.30336333862,21425.276460708097,India
2020-07-03,36852.664120182904,22367.24317504064,India
2020-07-04,37190.024877027194,23105.588980752,India
2020-07-05,37527.38563387149,23583.0456005068,India
2020-07-06,37864.74639071578,23072.78748449874,India
2020-07-07,38202.10714756007,23832.435342980876,India
2020-07-08,38539.46790440435,24970.435752933437,India
2020-07-09,38876.82866124864,26179.531191351736,India
2020-07-10,39214.18941809292,27475.192596435987,India
2020-07-11,39551.55017493721,28563.268723392102,India
2020-07-12,39888.91093178151,29343.17708498576,India
2020-07-13,40226.2716886258,29185.55820016824,India
2020-07-14,40563.63244547009,30471.805473844175,India
2020-07-15,40900.99320231437,32270.19630683393,India
2020-07-16,41238.35395915866,34150.17661392584,India
2020-07-17,41575.71471600294,36012.52956980537,India
2020-07-18,41913.075472847246,37554.30384259987,India
2020-07-19,42250.43622969153,38771.20096317669,India
2020-07-20,42587.79698653582,39133.08709090855,India
2020-07-21,42925.15774338011,40964.49049658587,India
2020-07-22,43262.5185002244,43204.55639978517,India
2020-07-23,43599.87925706869,45312.40209296425,India
2020-07-24,43937.240013912975,47126.98888856968,India
2020-07-25,44274.600770757264,48485.833070049426,India
2020-07-26,44611.96152760155,49462.87976028904,India
2020-07-27,44949.32228444585,49592.26989777854,India
2020-07-28,45286.68304129014,51164.536900811814,India
2020-07-29,45624.04379813442,53093.90468293933,India
2020-07-30,45961.40455497871,54862.980777516925,India
2020-07-31,46298.765311822994,56513.62613085711,India
2020-08-01,46636.1260686673,57891.63720769988,India
2020-08-02,46973.486825511565,58978.338474708224,India
2020-08-03,47310.84758235587,59123.760408632355,India
2020-08-04,47648.20833920016,60328.42363908874,India
2020-08-05,47985.56909604444,61548.796044757415,India
2020-08-06,48322.92985288873,62434.3529120271,India
2020-08-07,48660.29060973303,63283.03936091398,India
2020-08-08,48997.6513665773,64095.848874872536,India
2020-08-09,49335.0121234216,64802.56145332749,India
2020-08-10,49672.37288026589,64562.96996670427,India
2020-08-11,50009.73363711018,65375.137521988676,India
2020-08-12,50347.094393954474,66192.27945033228,India
2020-08-13,50684.45515079876,66816.98320664407,India
2020-08-14,51021.815907643046,67564.91972265318,India
2020-08-15,51359.176664487335,68393.26823291801,India
2020-08-16,51696.53742133163,69061.51735731473,India
2020-08-17,52033.89817817591,68690.4164227594,India
2020-08-18,52371.2589350202,69319.7606739171,India
2020-08-19,52708.61969186449,70016.12168646629,India
2020-08-20,53045.98044870878,70637.85497214727,India
2020-08-21,53383.34120555308,71381.67847164297,India
2020-08-22,53720.70196239737,72052.32140744478,India
2020-08-23,54058.06271924165,72338.58654811641,India
2020-08-24,54395.42347608594,71389.06899000671,India
2020-08-25,54732.78423293024,71377.12364841833,India
2020-08-26,55070.14498977451,71453.74394101677,India
2020-08-27,55407.505746618815,71471.40876896854,India
2020-08-28,55744.8665034631,71583.36574886453,India
2020-08-29,56082.22726030739,71595.35021016936,India
2020-08-30,56419.58801715167,71342.72109935561,India
